School_Name,Address,Phone_Number,Charter_Type,Grade_Levels,SQRP_Rating,School_Profile_URL
"LEARN South Chicago","8914 S Buffalo Ave, Chicago, IL 60617","(773) 722-8577","Charter","K - 8","Level 2+","https://www.incschools.org/school/learn-south-chicago/"
"Legacy Academy of Excellence Charter School","4029 Prairie Rd, Rockford, IL 61102","(815) 961-1100","Charter","K - 12","Not Applicable","https://www.incschools.org/school/legacy-academy-of-excellence-charter-school/"
"Legacy Charter School","3318 W Ogden Ave, Chicago, IL 60623","(773) 542-1640","Charter","K - 8","Level 1","https://www.incschools.org/school/legacy-charter-school/"
"Legal Prep Charter Academy","4319 W Washington Blvd, Chicago, IL 60624","(773) 922-7800","Charter","9 - 12","Level 2","https://www.incschools.org/school/legal-prep-charter-academy/"
"Moving Everest Charter School","416 N. Laramie Ave, Chicago, IL 60644","(312) 683-9695","Charter","K - 5","Level 2+","https://www.incschools.org/school/moving-everest-charter-school/"
"Namaste Charter School","3737 S Paulina St, Chicago, IL 60609","(773) 715-9558","Charter","K - 8","Level 2","https://www.incschools.org/school/namaste-charter-school/"
"Noble - Baker College Prep","2710 E 89Th St, Chicago, IL 60617","(773) 535-6460","Charter","9 - 12","Level 2+","https://www.incschools.org/school/noble-baker-college-prep/"
"Noble - Butler College Prep","821 E 103Rd St, Chicago, IL 60628","(773) 535-5490","Charter","9 - 11","Level 2+","https://www.incschools.org/school/noble-butler-college-prep/"
"Noble - Chicago Bulls College Prep","2040 W Adams St, Chicago, IL 60612","(773) 534-7599","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-chicago-bulls-college-prep/"
"Noble - DRW College Prep","931 S Homan Ave, Chicago, IL 60624","(773) 893-4500","Charter","9 - 12","Level 2","https://www.incschools.org/school/noble-drw-college-prep/"
"Noble - Gary Comer College Prep","7131 South Chicago Ave, Chicago, IL 60619","(773) 729-3969","Charter","6 - 12","Level 1","https://www.incschools.org/school/noble-gary-comer-college-prep/"
"Noble - Golder College Prep","1454 W Superior St, Chicago, IL 60642","(312) 265-9925","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-golder-college-prep/"
"Noble - Hansberry College Prep","8748 S Aberdeen St, Chicago, IL 60620","(773) 729-3400","Charter","9 - 12","Level 2+","https://www.incschools.org/school/noble-hansberry-college-prep/"
"Noble - ITW David Speer Academy","5321 W Grand Ave, Chicago, IL 60639","(773) 622-7484","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-itw-david-speer-academy/"
"Noble - Johnson College Prep","6350 S Stewart Ave, Chicago, IL 60621","(312) 348-1888","Charter","9 - 12","Level 2","https://www.incschools.org/school/noble-johnson-hs/"
"Noble - Mansueto","2911 W 47Th St, Chicago, IL 60632","(773) 349-8200","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-mansueto/"
"Noble - Muchin College Prep","1 N State St, Chicago, IL 60602","(312) 445-4680","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-muchin-college-prep/"
"Noble - Pritzker College Prep","4131 W Cortland Ave, Chicago, IL 60639","(773) 394-2848","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-pritzker-college-prep/"
"Noble - Rauner College Prep","1337 W Ohio St, Chicago, IL 60642","(312) 226-5345","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-rauner-college-prep/"
"Noble - Rowe-Clark Math and Science Academy","3645 W Chicago Ave, Chicago, IL 60651","(773) 242-2212","Charter","9 - 12","Level 1","https://www.incschools.org/school/noble-rowe-clark-math-sci-acad/"
"Noble - The Noble Academy","1443 N Ogden Ave, Chicago, IL 60610","(312) 574-1527","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-the-noble-academy/"
"Noble - UIC College Prep","1231 S Damen Ave, Chicago, IL 60608","(312) 768-4858","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-uic-college-prep/"
"Noble Street College Prep","1010 N Noble St, Chicago, IL 60642","(773) 862-1449","Charter","9 - 12","Level 1+","https://www.incschools.org/school/noble-street-college-prep/"
"North Lawndale College Prep - Christiana","1615 S. Christiana Ave., Chicago, IL 60623","(773) 542-1490","Charter","9 - 12","Level 2","https://www.incschools.org/school/north-lawndale-college-prep-christiana/"
"North Lawndale College Prep - Collins","1313 S Sacramento Dr, Chicago, IL 60623","(773) 542-6766","Charter","9 - 12","Level 2+","https://www.incschools.org/school/north-lawndale-college-prep-collins/"
"Passages Charter School","1643 W Bryn Mawr Ave, Chicago, IL 60660","(773) 433-3530","Charter","K - 8","Level 2+","https://www.incschools.org/school/passages-charter-school/"
"Perspectives High School of Technology","8522 S Lafayette, Chicago, IL 60620","(773) 358-6120","Charter","9 - 12","Level 2+","https://www.incschools.org/school/perspectives-high-school-of-technology/"
"Perspectives Leadership Academy","8522 S Lafayette Ave, Chicago, IL 60620","(773) 358-6100","Charter","6 - 12","Level 2+","https://www.incschools.org/school/perspectives-leadership-academy/"
"Perspectives Rodney D. Joslin Campus","1930 S Archer Ave, Chicago, IL 60616","(312) 225-7400","Charter","6 - 12","Level 2+","https://www.incschools.org/school/perspectives-rodney-d-joslin-campus/"
"Perspectives/IIT Math and Science Academy","3663 S Wabash Ave, Chicago, IL 60653","(773) 358-6800","Charter","6 - 12","Level 2","https://www.incschools.org/school/perspectives-iit-math-science-academy/"
"Polaris Charter Academy","620 N Sawyer Ave, Chicago, IL 60624","(773) 534-0820","Charter","K - 8","Level 2","https://www.incschools.org/school/polaris-charter-academy/"
"Prairie Crossing Charter School","1531 Jones Point Rd, Grayslake, IL 60030","(847) 543-9722","Charter","K - 8","Not Applicable","https://www.incschools.org/school/prairie-crossing-charter-school/"
"Providence Englewood Charter School","6515 S Ashland Ave, Chicago, IL 60636","(773) 434-0202","Charter","K - 8","Level 2+","https://www.incschools.org/school/providence-englewood-charter-school/"
"Quest Charter School Academy","2503 N University St, Peoria, IL 61604","(309) 402-0030","Charter","6 - 12","Not Applicable","https://www.incschools.org/school/quest-charter-school-academy/"
"Robertson Charter School","2240 E Geddes Ave, Decatur, IL 62526","(217) 428-7072","Charter","K - 8","Not Applicable","https://www.incschools.org/school/robertson-charter-school/"
"Rowe Elementary School","1424 N Cleaver St, Chicago, IL 60642","(312) 445-5870","Charter","K - 8","Level 2+","https://www.incschools.org/school/rowe-elementary-school/"
"SIUE East St. Louis Charter High","601 James R Thompson Blvd, East Saint Louis, IL 62201","(618) 482-8391","Charter","9 - 12","Not Applicable","https://www.incschools.org/school/siu-charter-school-of-east-st-louis/"
"Southland College Prep Charter High School","4601 Sauk Trl, Richton Park, IL 60471","(708) 748-0100","Charter","9 - 12","Not Applicable","https://www.incschools.org/school/southland-college-prep-charter-high-school/"
"Springfield Ball Charter School","2530 E Ash St, Springfield, IL 62703","(217) 525-3275","Charter","K - 8","Not Applicable","https://www.incschools.org/school/springfield-ball-charter-school/"
"The Montessori School of Englewood Charter","6936 S Hermitage Ave, Chicago, IL 60636","(773) 535-9255","Charter","PK - 8","Level 2+","https://www.incschools.org/school/the-montessori-school-of-englewood-charter/"
"UChicago Charter School - Donoghue","707 E 37Th St, Chicago, IL 60653","(773) 285-5301","Charter","PK - 5","Level 2","https://www.incschools.org/school/uchicago-charter-school-donoghue/"
"UChicago Charter School - North Kenwood Oakland (NKO)","1119 E 46Th St, Chicago, IL 60653","(773) 536-2399","Charter","PK - 5","Level 1","https://www.incschools.org/school/uchicago-charter-school-north-kenwood-oakland/"
"UChicago Charter School - Woodlawn (UCW)","6300 S University Ave, Chicago, IL 60637","(773) 752-8101","Charter","6 - 12","Level 2+","https://www.incschools.org/school/uchicago-charter-school-woodlawn/"
"Urban Prep - Bronzeville Campus","521 E 35Th St, Chicago, IL 60616","(773) 624-3444","Charter","9 - 12","Level 1","https://www.incschools.org/school/urban-prep-bronzeville-campus/"
"Urban Prep - Englewood Campus","6201 S Stewart Ave, Chicago, IL 60621","(773) 535-9724","Charter","9 - 12","Level 2","https://www.incschools.org/school/urban-prep-englewood-campus/"
"Youth Connection Charter School - Academy of Scholastic Achievement","4651 W Madison St, Chicago, IL 60644","(773) 921-1315","Charter","10 - 12","Level 1+","https://www.incschools.org/school/youth-connection-charter-school-scholastic-achievement-high-school/"
"Youth Connection Charter School - ASPIRA - Antonia Pantoja High School","3121 N Pulaski Rd, Chicago, IL 60641","(773) 252-0970","Charter","10 - 12","Level 2+","https://www.incschools.org/school/youth-connection-charter-school-aspira-antonia-pantoja-high-school/"
"Youth Connection Charter School - Association House High School","1116 N Kedzie Ave, Chicago, IL 60651","(773) 772-7170","Charter","10 - 11","Level 1+","https://www.incschools.org/school/youth-connection-charter-school-association-house-el-cuarto-ano/"
"Youth Connection Charter School - CCA Academy","1231 S Pulaski Rd, Chicago, IL 60623","(773) 762-2272","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-cca-community-services-west/"
"Youth Connection Charter School - Chatham Academy","9035 S Langley Ave, Chicago, IL 60619","(773) 651-1500","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-chatham-academy/"
"Youth Connection Charter School - Community Youth Development Institute","7836 S Union Ave, Chicago, IL 60620","(773) 224-2273","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-community-youth-development-institute/"
"Youth Connection Charter School - Dr. Pedro Albizu Campos Puerto Rican High School","2739 W Division St, Chicago, IL 60622","(773) 342-8022","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-dr-pedro-albizu-campos/"
"Youth Connection Charter School - Innovations High School of Art Integration","17 N State St., Chicago, IL 60602","(312) 999-9360","Charter","10 - 12","Level 2+","https://www.incschools.org/school/youth-connection-charter-school-innovations-high-school-of-art-integration/"
"Youth Connection Charter School - Latino Youth High School","2001 S California Ave, Chicago, IL 60608","(773) 648-2130","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-latino-youth-high-school/"
"Youth Connection Charter School - McKinley-Lakeside Leadership Academy","2920 S Wabash Ave, Chicago, IL 60616","(312) 949-5010","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-ada-s-mckinley/"
"Youth Connection Charter School - Olive Harvey Middle College","10001 S Woodlawn Ave, Chicago, IL 60628","(773) 291-6517","Charter","10 - 11","Level 2","https://www.incschools.org/school/youth-connection-charter-school-olive-harvey-middle-college/"
"Youth Connection Charter School - Progressive Leadership Academy","6620 S Dr Martin Luther King Jr Dr, Chicago, IL 60637","(773) 363-3837","Charter","10 - 12","Level 1+","https://www.incschools.org/school/youth-connection-charter-school-progressive-leadership-academy/"
"Youth Connection Charter School - Sullivan House","8164 S South Chicago Ave, Chicago, IL 60617","(773) 978-8680","Charter","10 - 11","Level 1+","https://www.incschools.org/school/youth-connection-charter-school-sullivan-house/"
"Youth Connection Charter School - Truman Middle College","1145 W Wilson Ave, Chicago, IL 60640","(773) 907-4840","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-truman-middle-college/"
"Youth Connection Charter School - West","4909 W Division St, Chicago, IL 60651","(773) 261-0994","Charter","10 - 12","Level 2+","https://www.incschools.org/school/youth-connection-charter-school-westside-holistic/"
"Youth Connection Charter School - West Town Academy Alternative High School","500 N Sacramento Blvd, Chicago, IL 60612","(312) 563-9044","Charter","10 - 11","Level 1","https://www.incschools.org/school/youth-connection-charter-school-west-town-academy-alternative-high-school/"
"Youth Connection Charter School - Youth Connection Leadership Academy","3424 S State St, Chicago, IL 60616","(312) 225-4668","Charter","10 - 12","Level 1","https://www.incschools.org/school/youth-connection-charter-school-youth-connection-leadership-academy/"
"YouthBuild McLean County Charter School","360 Wylie Dr Ste 305, Normal, IL 61761","(309) 454-3898","Charter","6 - 12","Not Applicable","https://www.incschools.org/school/youthbuild-mclean-county-charter-school/"
